loanID,loanPerformance,loanPerformNum,loanDateOpened,appAge,appChkSv,appFinanceCo,appIncome,appMaritalStatus,appOcc,appResidence,appOrigScore,appTimeAddress,cb90Ever,cbFICO,cbInq5Mos,cbMosAvg,cbMosDlq,cbMosInq,cbPctGood,cbTimeFile,cbTimeFileYears,cbUtilizn,dealLoanToVal,dealPctDown,dealNewUsed,sampwt,target
AL120265882-07137,Delq 3+ cycles,4,2007-01-24 Wed,29,Chk & Sv,Unsecured,"1,200.00",DI,g,Owns Home,180,1,0,603,4,,,0,100,49,4,,84.5,15.5,New,1.007,0
AL120265966-08807,Charged-off,3,2007-05-16 Wed,25,Chk & Sv,Unsecured,"2,460.00",DI,f,Owns Home,184,2,1,,2,2,23,0,33,74,6,,85.5,14.5,Used,1.007,0
AL120266033-08060,Charged-off,3,2007-06-22 Fri,42,Chk & Sv,Unknown,"3,400.00",SI,,Unknown,186,16,0,619,17,,,0,100,121,10,,91.1,8.9,Used,1.007,0
AL120266082-05280,Paid as agreed,7,2006-11-12 Sun,40,Checking,National,"4,167.00",M,b,Owns Home,203,10,0,700,5,,15,0,71,198,16,8,92.6,7.4,New,50.063,1
AL120266112-05774,Paid as agreed,7,2006-12-19 Tue,28,Savings,Unsecured,"1,150.00",SI,y,Owns Home,198,2,0,615,8,2,,0,100,81,6,,87.3,12.7,Used,26.466,1
AL120266183-05584,Paid as agreed,7,2006-12-18 Mon,37,Chk & Sv,National,"3,917.00",M,b,Owns Home,164,12,12,535,10,,1,0,19,187,15,60,89.2,10.8,New,43.565,1
AL120266409-07381,Charged-off,3,2007-04-07 Sat,59,Checking,Retail,"1,813.00",WD,s,Owns Home,206,2,1,656,5,,56,0,89,115,9,,91,9,New,3.908,0
AL120266411-06355,Paid as agreed,7,2007-06-13 Wed,24,Chk & Sv,Home Equity,"2,272.00",DI,g,Sublease,223,0,0,757,3,26,,0,100,48,4,0,80.1,19.9,Used,28.341,1
AL120266443-08411,Delq 3+ cycles,4,2006-09-13 Wed,24,Checking,National,"1,268.00",SI,k,Sublease,190,2,0,619,16,67,43,0,88,48,4,88,93.9,6.1,Used,1.007,0
AL120266464-05036,Paid as agreed,7,2006-11-10 Fri,34,Chk & Sv,National,"2,573.00",M,y,Owns Home,192,5,2,627,27,2,3,0,0,53,4,0,83.6,16.4,New,48.588,1
